var,year,pred,actual,pct_err
NECONPRVTKN,2020,203984916445.71545,197884884579.59,3.0826163802682993
NECONPRVTKN,2021,214516358361.94482,213313002942.29,0.5641266135006262
NECONPRVTKN,2022,221639481433.86887,225847608723.964,-1.8632596173459581
NECONPRVTKN,2023,232378963797.61182,231711175446.23,0.28819859469262354
NECONPRVTKN,2024,236336166124.73795,241413555852.0665,-2.1031916411686002
NEEXPGNFSKN,2020,64679748443.48602,48766449430.2715,32.631653932419425
NEEXPGNFSKN,2021,51496132553.47044,67025471019.142,-23.169308965000013
NEEXPGNFSKN,2022,67766852914.3042,74404968352.0063,-8.921602393938933
NEEXPGNFSKN,2023,74399394855.56975,68336574165.0061,8.871999752174142
NEEXPGNFSKN,2024,69984699053.99908,59881640820.407875,16.871712423331008
NEIMPGNFSKN,2020,66674276900.34738,59808888104.9447,11.478877158452105
NEIMPGNFSKN,2021,76796132470.58212,73391829504.8876,4.638531276111335
NEIMPGNFSKN,2022,82751628503.96616,84483959901.1618,-2.0504855587052395
NEIMPGNFSKN,2023,80806381768.69815,81067139595.4669,-0.32165662692671404
NEIMPGNFSKN,2024,75637846229.61534,74379817488.07095,1.691357661298576
NEGDIFPRVKN,2020,37430651943.016655,28720173656.4822,30.328780009199143
NEGDIFPRVKN,2021,36877432946.60885,34400995520.4207,7.198737678152711
NEGDIFPRVKN,2022,42685296848.1745,35784525241.96925,19.284234063588457
NEGDIFPRVKN,2023,45948239934.79257,36849691846.42788,24.690974693311276
NEGDIFPRVKN,2024,44115236950.612625,33656568923.90886,31.0746708921781
