year,BOLSPPOPTOTL,BOLSPPOP1564TO,BOLNYGDPMKTPKN,BOLNECONPRVTKN,BOLNECONGOVTKN,BOLNEGDIFTOTKN,BOLNEGDISTKBKN,BOLNEEXPGNFSKN,BOLNEIMPGNFSKN,BOLNYGDPDISCKN,BOLNYGDPMKTPCN,BOLNECONPRVTCN,BOLNECONGOVTCN,BOLNEGDIFTOTCN,BOLNEGDISTKBCN,BOLNEEXPGNFSCN,BOLNEIMPGNFSCN,BOLNVAGRTOTLKN,BOLNVINDTOTLKN,BOLNVSRVTOTLKN,BOLNVAGRTOTLCN,BOLNVINDTOTLCN,BOLNVSRVTOTLCN,BOLNYGDPMKTPCD,BOLBXGSRMRCHCD,BOLBXGSRNFSVCD,BOLBMGSRMRCHCD,BOLBMGSRNFSVCD,BOLBNCABFUNDCD,BOLBXFSTREMTCD,BOLBMFSTREMTCD,BOLBFCAFFFDICD,BOLFIRESTOTLCD,BOLPANUSATLS,BOLFPCPITOTLXN,BOLGGREVTOTLCN,BOLGGREVTAXTCN,BOLGGEXPTOTLCN,BOLGGEXPINTPCN,BOLGGBALOVRLGD,BOLGGDBTTOTLGD,BOLGGREVTOTLGD,BOLGGEXPTOTLGD,BOLGGREVTAXTGD,BOLLMEMPTOTL,BOLLMUNRTOTL_,BOLLMPRTTOTL_,BOLFMLBLPOLYFR,BOLFMLBLMTWOCN,BOLNVOILTOTLGD,BOLBXGOILSHRPC
1990,7130142.0,3966055.0,106000145693.88,77892584544.9792,16101197362.5566,13555276150.7216,-19157960.1770541,18462131909.3134,20931239671.2734,,15443135928.0,11869886152.0,1815415000.0,1939424556.0,-4100536.0,3517480312.0,3694969556.0,10301098559.8122,30742676125.3866,52964439005.5423,2371077205.0,4923974890.0,7121414173.0,4867582597.51312,830800000.0,145900000.0,775600000.0,310600000.0,-198900000.0,4599999.905,7700000.0,27200000.0,510931171.639825,3.17265,26.335044640285,2111900000.0,1117500000.0,2191700000.0,145700000.0,-1.65445671909649,,13.6753312918195,14.1920657191537,7.23622459330852,,,69.002,41.8133333333333,3779600000.0,2.75361755081365,
1991,7280289.0,4055020.0,111582671634.805,80481251289.2334,16639111624.6063,16139951263.3933,901218883.51691,19808722933.7706,23566339295.7512,,19132128300.0,14891257800.0,2310153000.0,2771102000.0,209256800.0,4109456200.0,5159097400.0,11316775072.062,32038130092.5259,55260846246.3995,2973533700.0,5855625100.0,8917330800.0,5343262457.10226,760300000.0,157000000.0,804200000.0,311200000.0,-262600000.0,3400000.095,8600000.0,52000000.0,422359443.149442,3.58060833333333,31.9831400506551,2841300000.0,1517700000.0,2779600000.0,204900000.0,-0.430689146068501,,14.8509353243256,14.5284411457768,7.93272957509908,,2.935,69.329,41.1475,5697100000.0,1.37366238218404,
1992,7430336.0,4145535.0,113419878296.005,83342802929.9752,17253478004.3621,18087477445.6957,221613207.553922,20029155461.7488,25905064603.6769,,22014006000.0,17488916500.0,2833313000.0,3591710600.0,85582900.0,4412875200.0,6398392000.0,10837496767.8745,32614273507.2713,57565103407.7882,3170942400.0,6639617900.0,10460944200.0,5643868748.68126,608400000.0,164600000.0,1040800000.0,311000000.0,-533900000.0,3799999.952,8900000.0,93100000.0,479572082.597047,3.90051666666666,35.8404102387903,3339900000.0,1959200000.0,3866100000.0,318200000.0,-2.60743092374918,,15.171704777404,17.5620012095936,8.89978861639267,,3.03,69.285,45.5116666666666,7661100000.0,1.42097317088114,16.4779970409837
1993,7579195.0,4235469.0,118262108755.566,86113882155.05,17690470149.5468,18562920255.5496,-104710730.325048,21091621802.7389,25716370897.3394,,24458969300.0,19413422200.0,3270271000.0,4075936400.0,-24607700.0,4666958500.0,6943011200.0,11286553562.7158,34383629679.5439,60024535639.4507,3582740600.0,7002221900.0,11969203800.0,5734699488.84934,715500000.0,181400000.0,1111700000.0,321700000.0,-505500000.0,4199999.809,9500000.0,123800000.0,572438127.381548,4.26508333333333,38.8968363247954,3923700000.0,2327600000.0,4984100000.0,450300000.0,-2.64606407597069,,16.0419678845584,20.3773917815907,9.51634540053983,,3.05,69.52,53.8766666666666,10243100000.0,1.3937400044077,12.7383036713833
1994,7727322.0,4324443.0,123781714887.193,88640144016.8474,18244597227.2771,17074517498.9897,-414265701.740249,24275718880.5231,25550598645.1026,,27636341900.0,21444454300.0,3749673000.0,4104405000.0,-132732400.0,5986946900.0,7516404800.0,12039631885.9903,35991854448.1907,62618860548.297,4212963200.0,7775029500.0,13354324700.0,5981222858.82727,985100000.0,196000000.0,1015300000.0,337500000.0,-90200000.0,4500000.0,9800000.0,130200000.0,793388690.272345,4.62051666666666,41.9595904151193,4528600000.0,2776200000.0,5244300000.0,610300000.0,-3.5721080726679,59.1717241709186,16.3863944670622,18.9761004512685,10.0454684272089,,3.08,69.8,55.5733333333333,12723100000.0,1.32063764470926,9.52179302499781
1995,7874676.0,4414011.0,129572565886.25,91252401560.458,19454287910.6036,19430922219.2453,-635542520.799411,26489249296.9572,27829624959.8279,,32235072900.0,24440155400.0,4375144000.0,5007243800.0,-93328200.0,7269467200.0,8763609200.0,12208635651.0345,38506816721.5762,64915903481.6424,4789905900.0,9394189100.0,15063715000.0,6715161732.22658,1041400000.0,192400000.0,1223700000.0,350200000.0,-302500000.0,5400000.0,9200000.0,392700000.0,1005482847.42788,4.80034166666666,46.2366182230716,5233800000.0,3134000000.0,5707800000.0,727700000.0,-2.7882673099213,57.4113793922892,16.2363522993615,17.7068003466498,9.72232949409585,,2.664,70.085,51.0175,13697400000.0,1.67539093460871,12.9404641892439
1996,8021736.0,4504346.0,135223668561.107,94232596491.6259,19961168998.6565,21709841142.219,161975732.289215,27567006620.1621,30039369150.121,,37536646800.0,28200555400.0,5002609000.0,6072066400.0,22842000.0,8476477000.0,10237903000.0,13027137070.9401,39685300515.4374,68490681399.5311,5324453000.0,10493326900.0,17833808000.0,7396949126.35685,1131990000.0,180940000.0,1368000000.0,363420000.0,-379690000.0,10700000.0,13000000.0,474100000.0,1301661210.80997,5.0746125,51.9817430329974,6444200000.0,4614700000.0,7069000000.0,749500000.0,-2.58334210076538,47.8828066229933,17.167756177944,18.8322628754362,12.2938525238754,,2.375,70.341,55.9666666666666,19154161924.68,2.08266621438735,13.0738735089195
1997,8167900.0,4595614.0,141922931371.563,99348482207.8886,20631889990.4661,27520052805.7989,714587743.386781,26985282713.5221,34106431464.2868,,41643866100.0,31113364500.0,5789967000.0,7899404700.0,276106200.0,8791271200.0,12226247600.0,13620492742.7532,41159215191.5572,73617220432.4445,6212539900.0,11008601600.0,20497255400.0,7925736821.45034,1090000000.0,323840000.0,1643600000.0,418740000.0,-553500000.0,84900000.0,12000000.0,730600000.0,1359051283.44007,5.25425833333333,54.4292744812108,7070100000.0,5255600000.0,8199200000.0,709200000.0,-3.08496813651987,46.5365054086561,16.977530335494,19.688854008682,12.6203460249816,,2.08,70.66,50.05,22786656415.59,1.64557088716868,8.41558907225538
1998,8313394.0,4688349.0,149060739069.545,104567479796.1,21416066102.3344,35560518791.8334,788318962.169434,28734584620.4824,41715834197.7204,,46822325700.0,35144093500.0,6657606000.0,10840874200.0,212243500.0,9223382400.0,15255874000.0,13017216449.8351,44073695687.654,78175943194.4955,5911520600.0,12236263000.0,24215181500.0,8497494652.12546,1032000000.0,323200000.0,1759500000.0,440500000.0,-666100000.0,88400000.0,15100000.0,949300000.0,1218866920.23489,5.51013333333333,58.6057573316524,8279900000.0,6342800000.0,9212900000.0,775700000.0,-2.85697043024072,47.0751925934341,17.6836581186739,19.6762972839685,13.5465291507295,,2.121,70.491,39.4116666666666,25845352199.0,1.24033297671521,7.28497112896233
1999,8459806.0,4783299.0,149697057635.436,107456053270.121,22103569309.5875,30128225734.7922,-188212166.055499,25055179493.8408,34565378874.9126,,48156174800.0,37001622000.0,7126099000.0,9196540100.0,-156734200.0,8129195400.0,13140547400.0,13343571214.4637,43209281398.9297,81545021902.5567,6384541600.0,12108338700.0,26110334500.0,8285064434.56826,1005500000.0,305100000.0,1539000000.0,449700000.0,-488000000.0,96000000.0,32100000.0,1010500000.0,1248580099.5968,5.81240833333333,59.8713581954227,8619200000.0,5797900000.0,9874000000.0,627600000.0,-3.21018022386612,56.2575829839375,17.8984315838973,20.5041202732739,12.0397851865925,,2.299,70.322,35.3691666666666,26680306596.57,1.83148099301924,5.26722651510801
2000,8606326.0,4880705.0,153451176627.565,109930929813.183,22562997756.6471,27447138728.5681,132103032.335827,28823631642.0256,36179553863.4206,,51928492100.0,39655456200.0,7550039000.0,9288698100.0,132936800.0,9489799500.0,14188437500.0,13807311049.8779,44260681289.2965,82992735999.5596,6732950600.0,13365886100.0,27086846400.0,8397855484.76908,1139092096.03,330932000.0,1610160000.0,467680000.0,-446349903.97,126870000.0,37000000.0,736350000.0,1184108227.67536,6.18354166666666,62.6303680784417,9244300000.0,6403200000.0,10673200000.0,890500000.0,-3.99761270942046,60.1091977404058,17.8019804276196,20.5536490053406,12.3308028811412,,2.439,70.152,34.5958333333333,27094684561.77,3.20071915897547,12.1942402416879
2001,8752736.0,4982127.0,156034986200.326,111326215935.477,23208915269.0626,21559990628.9599,839227623.20137,31238252672.2653,34356098175.892,,53790326600.0,40499252900.0,8458061000.0,7491256800.0,183780700.0,10743084300.0,13585109100.0,14285165667.8223,44352448395.7609,84376421963.3404,7130259400.0,13673864900.0,28322638400.0,8141516928.39489,1188657425.88972,332040844.082,1580000000.0,399443800.0,-274011530.02828,135280000.0,36380000.0,705756000.0,1146023735.30062,6.60691666666666,63.6259740912743,9095040000.0,6337870000.0,13041420000.0,1102970000.0,-6.61152334405049,68.3398527645303,16.9083189764458,24.2449169289855,11.7825460461138,,2.623,69.981,20.0570612222166,34145254293.2672,2.70191454521148,22.4397697760694
2002,8900355.0,5090632.0,159913338356.362,113602461857.98,24011268714.4853,25550276793.7907,895937584.149183,33016721499.2706,38855032453.4799,,56682328500.0,41842207100.0,9050972000.0,8870584300.0,365616000.0,12262912900.0,15709963800.0,14349064286.2639,45540670125.5426,85521142944.9304,7343262900.0,14439012200.0,29644603900.0,7905485146.44351,1184341415.90552,370970703.156367,1638700000.0,433295000.0,-351932880.938109,112900000.0,37880000.0,676543000.0,892729137.789947,7.17,64.2165878277003,10416540714.81,7473057692.3,16315688264.296,1333991588.22,-8.71141046062707,,18.377051526403,28.7844354599794,13.1841049760332,,2.603,69.81,20.6324567427483,32164317428.9323,3.20143436722118,24.9742676784933
2003,9050700.0,5206741.0,164249132403.906,115742639876.451,24869140410.6278,22779189596.8411,442466270.550935,37032562875.9302,39210565659.1571,,61904448600.0,43960301200.0,10227321500.0,7839531500.0,351709900.0,15847993500.0,16322409100.0,15599276728.3706,45948315469.6156,86558193432.3102,8312057000.0,15845366300.0,31749587500.0,8082399639.54305,1492659721.64642,468545313.986,1497372825.0,550740000.0,75594887.4166634,158166413.296793,45781410.2461145,197400000.0,1096941369.79827,7.65916666666666,66.3596719570179,11635395868.72,8030864313.94,17461782696.35,1566203978.05,-7.5654306950567,,18.7957346068987,28.2076378858982,12.9730003183325,,2.654,69.639,17.6632890518186,36738375247.1356,3.57840976144804,30.1389419296459
2004,9204287.0,5328768.0,171103734201.755,119110747536.499,25652090805.2495,22524582322.6933,-1243367096.83687,43187577130.8584,41353607471.9963,,69626113100.0,47281175700.0,11320186800.0,8137288100.0,-463304600.0,21680451000.0,18329683900.0,15637936956.5407,48844381483.3096,88549647615.6168,9275857900.0,18687404700.0,34315208600.0,8773451751.5121,2044256550.86625,517758635.338,1724732878.03138,606221071.0,337499451.331106,210558668.516465,50586782.9261628,65430000.0,1271422924.6815,7.93626666666666,69.3043033000566,14094000000.0,10455300000.0,18946100000.0,1774000000.0,-5.3889264141617,,20.242405288024,27.2111987248072,15.0163488014671,,2.615,69.467,14.4698833333333,34861567995.9744,5.08868092656529,37.5739969111581
2005,9360754.0,5455596.0,178668971387.08,123076380390.174,26512952293.6052,24026227760.7709,1463881902.51415,46787829524.4176,47468395782.8974,,77023817400.0,51080251800.0,12304214000.0,10006046200.0,972637300.0,27380536700.0,24719868700.0,16417149067.5072,52006894331.0967,90501985064.4965,9083204300.0,20233555600.0,36062703000.0,9549122905.32852,2622226566.01204,657166440.36676,2182590109.27999,681954426.19,622439173.907653,337040056.699114,66719820.04045,-238620000.0,1794984952.80819,8.06606249999999,73.0420445177246,17694210367.11,12489538389.62,20013216364.48,2007900402.01,-3.6902011920666,,22.9723882357329,25.9831530558235,16.2151641027597,,2.598,69.294,16.6150416666666,39688299830.2696,7.33080300030145,47.8301459653094
